;kostya_file;filename;size;accession;sample;subsample;treatment
35;EGAF00002338258/22211_7#4.cram;22211_7#4;1.6G;EGAN00001437454;MSM0.36;s3;Lead (II) acetate (75 uM)
36;EGAF00002340079/22101_5#19.cram;22101_5#19;1.6G;EGAN00001938974;MSM0.119;s2;DMSO Control (0,5%) + S9
37;EGAF00002340749/22101_3#23.cram;22101_3#23;1.7G;EGAN00001938964;MSM0.118;s1;DMSO Control (0,5%) + HS9
38;EGAF00002338981/20628_6.cram;20628_6;34G;EGAN00001437516;MSM0.62;s2;IQ (450 uM)
39;EGAF00002338893/20025_8#5.cram;20025_8#5;5.5G;EGAN00001437506;MSM0.57;s1;Acrolein (5 uM)
40;EGAF00002338150/22211_4#23.cram;22211_4#23;1.2G;EGAN00001938980;MSM0.87;s3;3-NBA (0,1 uM)
41;EGAF00002338259/22211_7#5.cram;22211_7#5;1.5G;EGAN00001437488;MSM0.50;s3;1,6-DNP (0,09 uM)
42;EGAF00002340330/22152_8#7.cram;22152_8#7;1.5G;EGAN00001938953;MSM0.122;s2;MX (7 uM) + S9
43;EGAF00002339985/22152_4#19.cram;22152_4#19;1.3G;EGAN00001938974;MSM0.119;s2;DMSO Control (0,5%) + S9
44;EGAF00002339064/19056_4#3.cram;19056_4#3;4.3G;EGAN00001437419;MSM0.42;s1;DBA (75 uM) + S9
45;EGAF00002340246/22746_2#2.cram;22746_2#2;2.4G;EGAN00001938996;MSM0.121;s4;2-Naphthylamine (200 uM)
46;EGAF00002339063/19056_4#2.cram;19056_4#2;4.3G;EGAN00001437423;MSM0.40;s2;6-Nitrochrysene (0,78 uM)
47;EGAF00002340085/22152_5#8.cram;22152_5#8;1.5G;EGAN00001938968;MSM0.103;s5;DBADE (0,109 uM)
48;EGAF00002338908/20623_4.cram;20623_4;31G;EGAN00001437510;MSM0.61;s1;MeAaC (70 uM)
49;EGAF00002339527/22211_4#17.cram;22211_4#17;1.7G;EGAN00001938999;MSM0.93;s1;6-Nitrochrysene (50 uM) + S9
50;EGAF00002338974/18962_7#8.cram;18962_7#8;3.8G;EGAN00001437426;MSM0.44;s2;PhIP (3 uM) + S9
51;EGAF00002340214/22152_7#2.cram;22152_7#2;1.3G;EGAN00001938967;MSM0.103;s1;DBADE (0,109 uM)
52;EGAF00002338689/17450_5.cram;17450_5;33G;EGAN00001437366;MSM0.20;s1;Cadmium chloride (2,5 uM)
53;EGAF00002339651/22156_6#22.cram;22156_6#22;1.4G;EGAN00001938976;MSM0.107;s1;2,6-Dimethylaniline (11 mM) + S9
54;EGAF00002338595/24243_3#4.cram;24243_3#4;7.6G;EGAN00001939020;MSM0.131;s2;DMSO Control (0,1%) + S9
55;EGAF00002339055/19056_3#2.cram;19056_3#2;4.4G;EGAN00001437423;MSM0.40;s2;6-Nitrochrysene (0,78 uM)
56;EGAF00002339010/22217_1#4.cram;22217_1#4;1.6G;EGAN00001437454;MSM0.36;s3;Lead (II) acetate (75 uM)
57;EGAF00002338904/20520_4#1.cram;20520_4#1;2.9G;EGAN00001437490;MSM0.53;s2;Glycidamide (475 uM)
58;EGAF00002339325/19226_7#10.cram;19226_7#10;3.4G;EGAN00001437451;MSM0.41;s4;Ellipticine (0,375 uM) + S9
59;EGAF00002340087/22152_5#10.cram;22152_5#10;1.3G;EGAN00001938949;MSM0.105;s1;Acetaldehyde (12 mM)
60;EGAF00002340185/22101_6#14.cram;22101_6#14;1.8G;EGAN00001938965;MSM0.118;s2;DMSO Control (0,5%) + HS9
61;EGAF00002339222/19221_6#10.cram;19221_6#10;3.5G;EGAN00001437451;MSM0.41;s4;Ellipticine (0,375 uM) + S9
62;EGAF00002339385/19226_8#3.cram;19226_8#3;3.5G;EGAN00001437447;MSM0.31;s4;Styrene oxide (75 uM)
63;EGAF00002340400/24709_6#2.cram;24709_6#2;6.4G;EGAN00001939039;MSM0.106;s3;Semustine (150 uM)
64;EGAF00002338400/16525_1#89.cram;16525_1#89;4.3G;EGAN00001437322;MSM0.2;s2;BPDE (0,125 uM)
65;EGAF00002338623/17218_3.cram;17218_3;34G;EGAN00001437355;MSM0.18;s2;Etoposide (0,0188 uM)
66;EGAF00002339253/22210_2#9.cram;22210_2#9;1.4G;EGAN00001437502;MSM0.56;s6;SSR (1,25 J)
67;EGAF00002339692/22152_1#18.cram;22152_1#18;1.4G;EGAN00001938977;MSM0.107;s2;2,6-Dimethylaniline (11 mM) + S9
68;EGAF00002340708/22101_2#6.cram;22101_2#6;1.6G;EGAN00001938944;MSM0.111;s2;Benzidine (200 uM)
69;EGAF00002339932/22211_1#20.cram;22211_1#20;1.5G;EGAN00001938986;MSM0.100;s2;2,6-Dimethylaniline (3,8 mM)
70;EGAF00002340195/22101_6#24.cram;22101_6#24;1.6G;EGAN00001938955;MSM0.104;s1;Formaldehyde (120 uM)
71;EGAF00002339523/22211_4#13.cram;22211_4#13;1.5G;EGAN00001437526;MSM0.65;s4;MeIQX (300 uM)
72;EGAF00002340336/22152_8#13.cram;22152_8#13;1.6G;EGAN00001938958;MSM0.127;s1;MeOH Control (4,3%) + S9
73;EGAF00002338553/22216_2#26.cram;22216_2#26;1.3G;EGAN00001938982;MSM0.83;s1;Cisplatin (12,5 uM)
74;EGAF00002338867/18928_7#8.cram;18928_7#8;3.6G;EGAN00001437426;MSM0.44;s2;PhIP (3 uM) + S9
75;EGAF00002338208/19685_6#7.cram;19685_6#7;4.7G;EGAN00001437459;MSM0.45;s1;H2O Control (0,1%)
76;EGAF00002338848/22216_7#6.cram;22216_7#6;1.4G;EGAN00001437491;MSM0.53;s6;Glycidamide (475 uM)
77;EGAF00002339042/19041_6#1.cram;19041_6#1;8.9G;EGAN00001437404;MSM0.28;s4;Nickel (II) chloride (300 uM)
78;EGAF00002338440/22211_8#21.cram;22211_8#21;1.3G;EGAN00001939002;MSM0.90;s3;PhIP (4 uM) + S9
79;EGAF00002339646/22156_6#17.cram;22156_6#17;1.5G;EGAN00001938952;MSM0.122;s1;MX (7 uM) + S9
80;EGAF00002339006/21781_5#1.cram;21781_5#1;35G;EGAN00001938888;MSM0.85;s2;AZ20 (0,9375 uM)
81;EGAF00002340063/22101_5#3.cram;22101_5#3;1.6G;EGAN00001938956;MSM0.104;s2;Formaldehyde (120 uM)
82;EGAF00002340323/22152_7#24.cram;22152_7#24;1.4G;EGAN00001938955;MSM0.104;s1;Formaldehyde (120 uM)
83;EGAF00002338818/20025_5#6.cram;20025_5#6;4.9G;EGAN00001437499;MSM0.59;s3;Olaparib (0,625 uM)
84;EGAF00002340225/22152_7#13.cram;22152_7#13;1.6G;EGAN00001938958;MSM0.127;s1;MeOH Control (4,3%) + S9
85;EGAF00002338859/22216_7#17.cram;22216_7#17;1.8G;EGAN00001938999;MSM0.93;s1;6-Nitrochrysene (50 uM) + S9
86;EGAF00002338610/16545_5#93.cram;16545_5#93;4.0G;EGAN00001437328;MSM0.3;s2;AAI (1,25 uM)
87;EGAF00002338765/22216_6#4.cram;22216_6#4;1.6G;EGAN00001437454;MSM0.36;s3;Lead (II) acetate (75 uM)
88;EGAF00002339938/22211_3#20.cram;22211_3#20;1.5G;EGAN00001938986;MSM0.100;s2;2,6-Dimethylaniline (3,8 mM)
89;EGAF00002338837/22216_6#18.cram;22216_6#18;1.4G;EGAN00001939000;MSM0.93;s2;6-Nitrochrysene (50 uM) + S9
90;EGAF00002339707/22152_2#9.cram;22152_2#9;1.3G;EGAN00001938946;MSM0.108;s2;MNNG (0,75 uM)
91;EGAF00002339110/22217_2#24.cram;22217_2#24;1.3G;EGAN00001938988;MSM0.98;s1;Nickel (II) chloride (412,5 uM)
92;EGAF00002339287/22217_5#14.cram;22217_5#14;1.5G;EGAN00001437538;MSM0.66;s3;Mechlorethamine (0,3 uM)
93;EGAF00002338218/19685_8#7.cram;19685_8#7;5.1G;EGAN00001437468;MSM0.49;s2;AFB1 (0,25 uM) + S9
94;EGAF00002339599/22152_1#12.cram;22152_1#12;1.5G;EGAN00001938947;MSM0.108;s3;MNNG (0,75 uM)
95;EGAF00002339425/22211_2#21.cram;22211_2#21;1.4G;EGAN00001939002;MSM0.90;s3;PhIP (4 uM) + S9
96;EGAF00002338297/19793_4#7.cram;19793_4#7;5.3G;EGAN00001437468;MSM0.49;s2;AFB1 (0,25 uM) + S9
97;EGAF00002339411/19227_3#11.cram;19227_3#11;3.4G;EGAN00001437445;MSM0.41;s2;Ellipticine (0,375 uM) + S9
98;EGAF00002339155/21898_1.cram;21898_1;33G;EGAN00001938932;MSM0.113;s2;2-Naphthylamine (400 uM) + S9
99;EGAF00002338793/18928_5#8.cram;18928_5#8;4.3G;EGAN00001437431;MSM0.39;s2;Lead (II) nitrate (88 uM)
100;EGAF00002339838/22100_2#19.cram;22100_2#19;1.6G;EGAN00001938974;MSM0.119;s2;DMSO Control (0,5%) + S9
101;EGAF00002338726/20024_4#2.cram;20024_4#2;4.9G;EGAN00001437493;MSM0.58;s5;AAII (37,5 uM)
102;EGAF00002339295/22217_5#24.cram;22217_5#24;1.3G;EGAN00001938988;MSM0.98;s1;Nickel (II) chloride (412,5 uM)
103;EGAF00002340178/22101_6#7.cram;22101_6#7;1.7G;EGAN00001938953;MSM0.122;s2;MX (7 uM) + S9
104;EGAF00002339059/19056_3#6.cram;19056_3#6;5.4G;EGAN00001437417;MSM0.43;s2;4-ABP (40 uM) + S9
105;EGAF00002339223/19221_6#11.cram;19221_6#11;3.3G;EGAN00001437445;MSM0.41;s2;Ellipticine (0,375 uM) + S9
106;EGAF00002338755/22216_5#17.cram;22216_5#17;1.7G;EGAN00001938999;MSM0.93;s1;6-Nitrochrysene (50 uM) + S9
107;EGAF00002338667/22216_4#11.cram;22216_4#11;1.3G;EGAN00001437529;MSM0.64;s3;N-Nitrosopyrrolidine (50 mM)
108;EGAF00002338573/22216_3#23.cram;22216_3#23;1.2G;EGAN00001938980;MSM0.87;s3;3-NBA (0,1 uM)
109;EGAF00002340745/22101_3#19.cram;22101_3#19;1.6G;EGAN00001938974;MSM0.119;s2;DMSO Control (0,5%) + S9
110;EGAF00002338564/22216_3#12.cram;22216_3#12;1.4G;EGAN00001437534;MSM0.68;s3;DMS (0,078 mM)
111;EGAF00002338878/18962_3#3.cram;18962_3#3;4.2G;EGAN00001437415;MSM0.30;s2;Potassium chromate (7,5 uM)
112;EGAF00002338947/22216_8#25.cram;22216_8#25;1.2G;EGAN00001938989;MSM0.98;s2;Nickel (II) chloride (412,5 uM)
113;EGAF00002338219/19686_7#5.cram;19686_7#5;4.8G;EGAN00001437456;MSM0.32;s5;Ellipticine (0,125 uM)
114;EGAF00002339302/19226_5#5.cram;19226_5#5;3.5G;EGAN00001437449;MSM0.35;s3;Potassium bromate (260 uM)
115;EGAF00002340432/22150_4#15.cram;22150_4#15;1.7G;EGAN00001938971;MSM0.110;s2;DMH (11,6 mM) + S9
116;EGAF00002339576/16532_8#96.cram;16532_8#96;3.8G;EGAN00001437332;MSM0.10;s1;Melphalan (1,5 uM)
117;EGAF00002339658/22156_7#5.cram;22156_7#5;1.6G;EGAN00001938961;MSM0.101;s1;Cyclophosphamide (60 uM) + S9
118;EGAF00002339007/22216_8#26.cram;22216_8#26;1.3G;EGAN00001938982;MSM0.83;s1;Cisplatin (12,5 uM)
119;EGAF00002339984/22152_4#18.cram;22152_4#18;1.3G;EGAN00001938977;MSM0.107;s2;2,6-Dimethylaniline (11 mM) + S9
120;EGAF00002338970/18962_7#4.cram;18962_7#4;4.9G;EGAN00001437420;MSM0.42;s2;DBA (75 uM) + S9
121;EGAF00002338325/22211_7#12.cram;22211_7#12;1.4G;EGAN00001437534;MSM0.68;s3;DMS (0,078 mM)
122;EGAF00002339872/22101_1#5.cram;22101_1#5;1.8G;EGAN00001938961;MSM0.101;s1;Cyclophosphamide (60 uM) + S9
123;EGAF00002339210/22217_4#18.cram;22217_4#18;1.4G;EGAN00001939000;MSM0.93;s2;6-Nitrochrysene (50 uM) + S9
124;EGAF00002340321/22152_7#22.cram;22152_7#22;1.3G;EGAN00001938976;MSM0.107;s1;2,6-Dimethylaniline (11 mM) + S9
125;EGAF00002338591/23824_8#4.cram;23824_8#4;6.1G;EGAN00001939022;DBP (0.0313 uM) + S9;s1;DBP (0,0313 uM) + S9
126;EGAF00002340114/22216_7#2.cram;22216_7#2;1.6G;EGAN00001437344;MSM0.12;s4;DBP (0,0039 uM)
127;EGAF00002340315/22101_8#9.cram;22101_8#9;1.5G;EGAN00001938946;MSM0.108;s2;MNNG (0,75 uM)
128;EGAF00002340350/22746_3#8.cram;22746_3#8;2.9G;EGAN00001939006;MSM0.114;s1;2-Naphthylamine (200 uM) + HS9
129;EGAF00002340354/22746_4#1.cram;22746_4#1;2.1G;EGAN00001938995;MSM0.121;s3;2-Naphthylamine (200 uM)
130;EGAF00002338681/22216_5#1.cram;22216_5#1;1.8G;EGAN00001437335;MSM0.15;s2;Mitomycin C (0,313 uM)
131;EGAF00002338373/23098_8#3.cram;23098_8#3;12G;EGAN00001938984;MSM0.83;s3;Cisplatin (12,5 uM)
132;EGAF00002339670/22100_1#8.cram;22100_1#8;1.8G;EGAN00001938968;MSM0.103;s5;DBADE (0,109 uM)
133;EGAF00002338399/16524_8#88.cram;16524_8#88;3.6G;EGAN00001437321;MSM0.2;s1;BPDE (0,125 uM)
134;EGAF00002340317/22152_7#18.cram;22152_7#18;1.4G;EGAN00001938977;MSM0.107;s2;2,6-Dimethylaniline (11 mM) + S9
135;EGAF00002340070/22101_5#10.cram;22101_5#10;1.5G;EGAN00001938949;MSM0.105;s1;Acetaldehyde (12 mM)
136;EGAF00002338614/17193_3.cram;17193_3;38G;EGAN00001437339;MSM0.6;s1;NaCl Control (0,003%)
137;EGAF00002339058/19056_3#5.cram;19056_3#5;4.9G;EGAN00001437416;MSM0.43;s1;4-ABP (40 uM) + S9
138;EGAF00002338506/16534_1#89.cram;16534_1#89;4.5G;EGAN00001437322;MSM0.2;s2;BPDE (0,125 uM)
139;EGAF00002340072/22101_5#12.cram;22101_5#12;1.7G;EGAN00001938947;MSM0.108;s3;MNNG (0,75 uM)
140;EGAF00002338335/22211_7#24.cram;22211_7#24;1.3G;EGAN00001938988;MSM0.98;s1;Nickel (II) chloride (412,5 uM)
141;EGAF00002340357/22746_4#4.cram;22746_4#4;2.2G;EGAN00001939008;MSM0.114;s5;2-Naphthylamine (200 uM) + HS9
142;EGAF00002338204/22746_5#12.cram;22746_5#12;2.5G;EGAN00001938992;MSM0.130;s3;DBC (1,5 uM)
143;EGAF00002340037/22914_5#2.cram;22914_5#2;2.5G;EGAN00001938996;MSM0.121;s4;2-Naphthylamine (200 uM)
144;EGAF00002339296/22217_5#25.cram;22217_5#25;1.2G;EGAN00001938989;MSM0.98;s2;Nickel (II) chloride (412,5 uM)
145;EGAF00002338347/22211_8#11.cram;22211_8#11;1.3G;EGAN00001437529;MSM0.64;s3;N-Nitrosopyrrolidine (50 mM)
146;EGAF00002338236/22211_6#5.cram;22211_6#5;1.5G;EGAN00001437488;MSM0.50;s3;1,6-DNP (0,09 uM)
147;EGAF00002339490/19684_2#5.cram;19684_2#5;4.9G;EGAN00001437456;MSM0.32;s5;Ellipticine (0,125 uM)
148;EGAF00002339463/22217_8#5.cram;22217_8#5;1.5G;EGAN00001437488;MSM0.50;s3;1,6-DNP (0,09 uM)
149;EGAF00002340431/22150_4#14.cram;22150_4#14;1.8G;EGAN00001938965;MSM0.118;s2;DMSO Control (0,5%) + HS9
150;EGAF00002339330/22211_1#5.cram;22211_1#5;1.5G;EGAN00001437488;MSM0.50;s3;1,6-DNP (0,09 uM)
151;EGAF00002339642/22156_6#13.cram;22156_6#13;1.6G;EGAN00001938958;MSM0.127;s1;MeOH Control (4,3%) + S9
152;EGAF00002339740/22156_8#5.cram;22156_8#5;1.5G;EGAN00001938961;MSM0.101;s1;Cyclophosphamide (60 uM) + S9
153;EGAF00002338394/16524_1#89.cram;16524_1#89;4.6G;EGAN00001437322;MSM0.2;s2;BPDE (0,125 uM)
154;EGAF00002338621/17218_1.cram;17218_1;33G;EGAN00001437352;MSM0.14;s2;DBADE (0,0313 uM)
155;EGAF00002338507/16534_4#92.cram;16534_4#92;3.7G;EGAN00001437327;MSM0.3;s1;AAI (1,25 uM)
156;EGAF00002339418/22211_2#12.cram;22211_2#12;1.4G;EGAN00001437534;MSM0.68;s3;DMS (0,078 mM)
157;EGAF00002338214/19685_8#3.cram;19685_8#3;5.1G;EGAN00001437463;MSM0.24;s4;ENU (400 uM)
158;EGAF00002338640/19847_4#2.cram;19847_4#2;4.3G;EGAN00001437478;MSM0.52;s2;Acrylamide (9,5 mM) + S9
159;EGAF00002339653/22156_6#24.cram;22156_6#24;1.4G;EGAN00001938955;MSM0.104;s1;Formaldehyde (120 uM)
160;EGAF00002339751/22783_6#3.cram;22783_6#3;5.7G;EGAN00001939013;MSM0.112;s1;Benzidine (900 uM) + S9
161;EGAF00002338255/22211_6#26.cram;22211_6#26;1.3G;EGAN00001938982;MSM0.83;s1;Cisplatin (12,5 uM)
162;EGAF00002338521/19846_6#9.cram;19846_6#9;4.3G;EGAN00001437487;MSM0.50;s2;1,6-DNP (0,09 uM)
163;EGAF00002338283/22914_2#11.cram;22914_2#11;2.7G;EGAN00001938991;MSM0.130;s2;DBC (1,5 uM)
164;EGAF00002339292/22217_5#21.cram;22217_5#21;1.4G;EGAN00001939002;MSM0.90;s3;PhIP (4 uM) + S9
165;EGAF00002339283/22217_5#10.cram;22217_5#10;1.5G;EGAN00001437520;MSM0.63;s3;Propylene oxide (10 mM)
166;EGAF00002338140/19684_7#4.cram;19684_7#4;6.5G;EGAN00001437474;MSM0.47;s3;MMS (100 uM)
167;EGAF00002339082/21826_4.cram;21826_4;32G;EGAN00001938899;MSM0.94;s1;6-Nitrochrysene (50 uM)
168;EGAF00002339151/19221_5#6.cram;19221_5#6;3.6G;EGAN00001437452;MSM0.36;s1;Lead (II) acetate (75 uM)
169;EGAF00002339755/22783_7#2.cram;22783_7#2;6.1G;EGAN00001939016;MSM0.116;s2;MOCA (37,5 uM) + S9
170;EGAF00002339545/22416_7#2.cram;22416_7#2;13G;EGAN00001939004;MSM0.41;s1;Ellipticine (0,375 uM) + S9
171;EGAF00002339664/22100_1#2.cram;22100_1#2;1.5G;EGAN00001938967;MSM0.103;s1;DBADE (0,109 uM)
172;EGAF00002340287/24709_1#1.cram;24709_1#1;6.6G;EGAN00001939033;MSM0.124;s3;Methyleugenol (1,25 mM)
173;EGAF00002339509/22211_3#24.cram;22211_3#24;1.3G;EGAN00001938988;MSM0.98;s1;Nickel (II) chloride (412,5 uM)
174;EGAF00002338300/19793_5#3.cram;19793_5#3;5.5G;EGAN00001437463;MSM0.24;s4;ENU (400 uM)
175;EGAF00002338212/19685_8#1.cram;19685_8#1;4.6G;EGAN00001437460;MSM0.45;s2;H2O Control (0,1%)
176;EGAF00002339815/22914_3#3.cram;22914_3#3;2.4G;EGAN00001938997;MSM0.121;s5;2-Naphthylamine (200 uM)
177;EGAF00002338537/19847_1#7.cram;19847_1#7;4.4G;EGAN00001437484;MSM0.46;s5;Cobalt (II) chloride (250 uM)
178;EGAF00002339081/21826_3.cram;21826_3;32G;EGAN00001938884;MSM0.84;s2;AZD7762 (1,625 uM)
179;EGAF00002338517/16543_1#89.cram;16543_1#89;4.5G;EGAN00001437322;MSM0.2;s2;BPDE (0,125 uM)
180;EGAF00002338812/20025_4#6.cram;20025_4#6;4.9G;EGAN00001437499;MSM0.59;s3;Olaparib (0,625 uM)
181;EGAF00002339219/19221_6#7.cram;19221_6#7;3.3G;EGAN00001437453;MSM0.36;s2;Lead (II) acetate (75 uM)
182;EGAF00002338458/22216_2#14.cram;22216_2#14;1.5G;EGAN00001437538;MSM0.66;s3;Mechlorethamine (0,3 uM)
183;EGAF00002338215/19685_8#4.cram;19685_8#4;4.8G;EGAN00001437464;MSM0.54;s1;5-Methylchrysene (1,6 uM) + S9
184;EGAF00002338752/22216_5#14.cram;22216_5#14;1.5G;EGAN00001437538;MSM0.66;s3;Mechlorethamine (0,3 uM)
185;EGAF00002338124/19684_4#6.cram;19684_4#6;4.9G;EGAN00001437467;MSM0.49;s1;AFB1 (0,25 uM) + S9
186;EGAF00002339544/22416_7#1.cram;22416_7#1;13G;EGAN00001939003;MSM0.21;s5;Sodium (meta) arsenite (2 uM)
187;EGAF00002338964/18962_6#6.cram;18962_6#6;4.7G;EGAN00001437429;MSM0.38;s3;1,4-Benzoquinone (5 uM)
188;EGAF00002340493/24709_7#3.cram;24709_7#3;6.2G;EGAN00001939040;MSM0.120;s1;MeOH Control (1,3%)
189;EGAF00002338939/22216_8#15.cram;22216_8#15;1.5G;EGAN00001437541;MSM0.74;s3;DBAC (5 uM) + S9
190;EGAF00002339079/21823_8.cram;21823_8;34G;EGAN00001938924;MSM0.95;s2;1,8-DNP (8 uM)
191;EGAF00002338782/18928_4#5.cram;18928_4#5;4.2G;EGAN00001437428;MSM0.38;s1;1,4-Benzoquinone (5 uM)
192;EGAF00002340193/22101_6#22.cram;22101_6#22;1.6G;EGAN00001938976;MSM0.107;s1;2,6-Dimethylaniline (11 mM) + S9
193;EGAF00002338499/16532_8#88.cram;16532_8#88;3.8G;EGAN00001437321;MSM0.2;s1;BPDE (0,125 uM)
194;EGAF00002338377/23125_5#3.cram;23125_5#3;7.5G;EGAN00001938925;MSM0.95;s3;1,8-DNP (8 uM)
195;EGAF00002338368/23031_4#2.cram;23031_4#2;12G;EGAN00001437476;MSM0.24;s1;ENU (400 uM)
196;EGAF00002339994/22152_5#4.cram;22152_5#4;1.3G;EGAN00001938970;MSM0.110;s1;DMH (11,6 mM) + S9
197;EGAF00002338282/22914_1#14.cram;22914_1#14;2.4G;EGAN00001938994;MSM0.90;s5;PhIP (4 uM) + S9
198;EGAF00002340253/22746_2#9.cram;22746_2#9;2.6G;EGAN00001939007;MSM0.114;s2;2-Naphthylamine (200 uM) + HS9
199;EGAF00002340035/22914_4#10.cram;22914_4#10;2.7G;EGAN00001938990;MSM0.130;s1;DBC (1,5 uM)
200;EGAF00002338186/22417_1#21.cram;22417_1#21;1.4G;EGAN00001939002;MSM0.90;s3;PhIP (4 uM) + S9
201;EGAF00002339905/22152_3#21.cram;22152_3#21;1.5G;EGAN00001938959;MSM0.127;s2;MeOH Control (4,3%) + S9
202;EGAF00002339249/22210_2#5.cram;22210_2#5;1.5G;EGAN00001437488;MSM0.50;s3;1,6-DNP (0,09 uM)
203;EGAF00002340258/22746_3#3.cram;22746_3#3;2.2G;EGAN00001938997;MSM0.121;s5;2-Naphthylamine (200 uM)
204;EGAF00002339691/22152_1#17.cram;22152_1#17;1.4G;EGAN00001938952;MSM0.122;s1;MX (7 uM) + S9
205;EGAF00002338679/22216_4#25.cram;22216_4#25;1.2G;EGAN00001938989;MSM0.98;s2;Nickel (II) chloride (412,5 uM)
206;EGAF00002339866/22100_3#23.cram;22100_3#23;1.7G;EGAN00001938964;MSM0.118;s1;DMSO Control (0,5%) + HS9
